Japanese,Chinese,Example_JP,Example_CN,Example_Furigana,Grammar_Notes,Audio_Path
運動,运动,毎日運動することが大切です。,每天运动很重要。,<ruby>毎日<rt>まいにち</rt></ruby><ruby>運動<rt>うんどう</rt></ruby>することが<ruby>大切<rt>たいせつ</rt></ruby>です。,<ol><li>毎日（まいにち）：表示“每天”。</li><li>運動（うんどう）：表示“运动”。此句为名词用法，后续用「する」动词化。</li><li>することが：名词化短语，表示做某事。</li><li>大切（たいせつ）です：表示“重要”。「大切」接「です」构成正式表达。</li><li>句型：Aすることが大切です = 做A很重要。</li></ol>,[sound:jlpt_vocabulary_in_sentence_運動.mp3]
止む,停止，终止,突然雨が止んだ。,雨突然停了。,<ruby>突然<rt>とつぜん</rt></ruby><ruby>雨<rt>あめ</rt></ruby>が<ruby>止んだ<rt>やんだ</rt></ruby>。,<ol><li>突然（とつぜん）：副词，表示“突然，忽然”。</li><li>雨（あめ）：名词，意思是“雨”。</li><li>が：助词，表示主语，这里用于指出“雨”是动作的发出者或状态的主体。</li><li>止んだ（やんだ）：动词“止む（やむ）”的过去式，表示“停了”或“结束了”。动词“止む”常用于描述自然现象（如雨、风、声音等）停止。</li><li>句子的语法结构为“〜が〜（动词）”，是日语中常见的描述某事发生（或结束）的方式。</li></ol>,[sound:jlpt_vocabulary_in_sentence_止む.mp3]
もし,如果,もし雨が降ったら、出かけません。,如果下雨的话，我就不出门了。,<ruby>もし<rt>もし</rt></ruby><ruby>雨<rt>あめ</rt></ruby>が<ruby>降ったら<rt>ふったら</rt></ruby>、<ruby>出かけません<rt>でかけません</rt></ruby>。,<ol><li>もし：表示假设，相当于“如果”。用于假设性的句子开头，常与“たら、なら”等假定条件句式搭配。</li><li>雨（あめ）：汉字为“雨”，意思是雨水。</li><li>が：助词，表示主语。</li><li>降ったら（ふったら）：动词“降る（ふる）”的过去假定形，表示“如果下了……”。</li><li>出かけません（でかけません）：出かける（出去，外出）的否定形，表示“不出去”。</li><li>句型「もし～たら」：常用于表达“如果……的话”。这是日语条件句中常见的用法。</li></ol>,[sound:jlpt_vocabulary_in_sentence_もし.mp3]
表,表格、表面,この表を見てください。,请看这个表格。,<ruby>この<rt>この</rt></ruby><ruby>表<rt>ひょう</rt></ruby><ruby>を<rt>を</rt></ruby><ruby>見て<rt>みて</rt></ruby><ruby>ください<rt>ください</rt></ruby>。,<ol><li>この：连体词，表示“这个”。</li><li>表（ひょう）：名词，意思是表格、清单，有时也指“表面”。在句中做宾语。</li><li>を：助词，连接宾语和动词，表示动作的对象。</li><li>見て（みて）：动词“見る”（看）的て形，用于与下文“ください”连用表示请求。</li><li>ください：表示请求、请～，用在て形动词后。</li><li>句型“～てください”：表达请求或命令的语气，相当于“请～”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_表.mp3]
大学生,大学生,私は大学生です。,我是大学生。,<ruby>私<rt>わたし</rt></ruby>は<ruby>大学生<rt>だいがくせい</rt></ruby>です。,<ol><li>私（わたし）：第一人称代词，表示“我”。</li><li>は：助词，提示主语。</li><li>大学生（だいがくせい）：名词，意为“大学生”。</li><li>です：判断句结尾的礼貌语气词，用于说明或判断。</li><li>句型“～は～です”：表示“……是……”的意思，是最基础的日语介绍句型。</li></ol>,[sound:jlpt_vocabulary_in_sentence_大学生.mp3]
運転手,司机,彼の父は運転手です。,他的父亲是司机。,<ruby>彼<rt>かれ</rt></ruby>の<ruby>父<rt>ちち</rt></ruby>は<ruby>運転手<rt>うんてんしゅ</rt></ruby>です。,<ol><li>彼（かれ）：他，第三人称男性代词。の：表示所属关系，类似中文“的”。父（ちち）：父亲，自己的父亲时用此词。は：主题助词，指出句子的主题。“父は”即“父亲是……”</li><li>運転手（うんてんしゅ）：司机，从“運転”（うんてん，驾驶）和“手”（しゅ，表示技艺者）构成。です：判断词，相当于中文的“是”，表达礼貌。</li><li>语法说明：本句为AはBです型句型，即“X是Y”。日本人在正式和不熟的人面前常用“です”表示礼貌。</li></ol>,[sound:jlpt_vocabulary_in_sentence_運転手.mp3]
予習,预习,明日 の 試験 の ために 予習 を します。,为了明天的考试我要预习。,<ruby>明日<rt>あした</rt></ruby>の<ruby>試験<rt>しけん</rt></ruby>のために<ruby>予習<rt>よしゅう</rt></ruby>をします。,<ol><li>明日（あした）：名词，表示“明天”。</li><li>試験（しけん）：名词，表示“考试”。</li><li>ために：表示目的，意思是“为了……”。</li><li>予習（よしゅう）：名词，表示“预习”。</li><li>を：助词，表示动作的对象，这里指“予習”。</li><li>します：动词“する（做）”的敬体，表示动作。</li><li>句子结构：先说明为谁，以“ために”引出目的，然后说明具体动作“予習をします”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_予習.mp3]
心配,担心,明日の天気が心配です。,我担心明天的天气。,<ruby>明日<rt>あした</rt></ruby>の<ruby>天気<rt>てんき</rt></ruby>が<ruby>心配<rt>しんぱい</rt></ruby>です。,<ol><li>明日（あした）：表示“明天”。</li><li>天気（てんき）：指“天气”。</li><li>心配（しんぱい）：表示“担心、挂念”，可作名词或な形容词，在此句中作名词用法。</li><li>が：表示主语助词，这里指“担心的对象”。</li><li>です：礼貌结句表达，常用于表达个人状态或感受。</li><li>语法：句型“～が心配です”用来表达“担心～”。主语用“が”提示，表达主观情感。</li></ol>,[sound:jlpt_vocabulary_in_sentence_心配.mp3]
別,分别、区别,二人は別の道を選んだ。,两人选择了不同的道路。,<ruby>二人<rt>ふたり</rt></ruby>は<ruby>別<rt>べつ</rt></ruby>の<ruby>道<rt>みち</rt></ruby>を<ruby>選んだ<rt>えらんだ</rt></ruby>。,<ol><li>別（べつ）：名词，表示“区别，别的”，用作连体词时修饰后面的名词，意思为“另外的、不同的”。</li><li>助词「の」：起到连接、修饰名词的作用，表示前面的“别”用来修饰后面的“道”，即“不同的道路”。</li><li>动词「選んだ」（选んだ，选ぶ的过去式）：表示“选择”。本句用过去式，说明动作已完成。</li></ol>,[sound:jlpt_vocabulary_in_sentence_別.mp3]
非常に,非常，特别,この映画は非常に面白いです。,这部电影非常有趣。,<ruby>この<rt>この</rt></ruby><ruby>映画<rt>えいが</rt></ruby>は<ruby>非常に<rt>ひじょうに</rt></ruby><ruby>面白い<rt>おもしろい</rt></ruby>です。,<ol><li>この：指示词，表示“这”。</li><li>映画（えいが）：名词，表示“电影”。</li><li>は：主题助词，提示句子的主题。</li><li>非常に（ひじょうに）：副词，意思是“非常、特别”，用来加强后面形容词或动词的程度。</li><li>面白い（おもしろい）：形容词，意思是“有趣的”。</li><li>です：礼貌形句尾。</li><li>语法：结构为“主语＋は＋非常に＋形容词／动词＋です”，用于礼貌地表达主观评价或状态，加强语气。</li></ol>,[sound:jlpt_vocabulary_in_sentence_非常に.mp3]
お宅,府上，家,昨日はお宅に伺いました。,昨天我去拜访了您的府上。,<ruby>昨日<rt>きのう</rt></ruby>は<ruby>お宅<rt>おたく</rt></ruby>に<ruby>伺いました<rt>うかがいました</rt></ruby>。,<ol><li>お宅（おたく）：尊敬语，指对方的家、府上，是“家（いえ）”的敬语形式，在正式或礼貌场合使用。</li><li>伺いました（うかがいました）：“伺う”是“行く（去）、来る（来）、聞く（问）”的自谦语，表示说话人对对方的尊敬和自己的谦逊。</li><li>语法结构“〜に伺う”：表示去（主语的行为，表达敬意）拜访某人（对象）。</li></ol>,[sound:jlpt_vocabulary_in_sentence_お宅.mp3]
